tramo,id_monumento,clave_de_excavacion,analizador,fecha_analisis,materia_prima_mon,tecnologia_mon,industria_mon,tipo_tecnologico_mon,c_bolsas_mon,lascas_mon
"2",T2_16041,T2_16041_248_0000089,Vïctor Oseguera,2022/12/13,"Caliza,cuarcita,sílex y vidrio","Pulida,no identificada,tallada y no aplica","Molienda,no identificado,percusión casual,unifaciales,bifaciales,- y navajas prismáticas","Brazo de moler,ecofacto,mano de metate,lasca casual sobre bifacial,lasca de adelgazamiento y descortezamiento parcial,raedera sobre lasca de adelgazamiento,lasca de adelgazar,-,lasca de reavivamiento de filo sobre hacha tallada,navaja prismática y raedera sobre lasca casual de descortezamiento parcial","10","15"
"2",T2_16127,T2_16127_222_0000282,Vïctor Oseguera,2022/12/13,Caliza,No aplica,"-","-","1","1"
"2",T2_16130,T2_16130_223_0000448,Vïctor Oseguera,2022/12/13,Sílex,No identificada,No identificado,Fragmento,"1","2"
"2",T2_16131,T2_16131_223_0002837,Vïctor Oseguera,2022/12/13,Obsidiana,Tallada,Navajas prismáticas,Navaja prismática,"1","1"
"2",T2_07043,T2_07043_234_0002508,Vïctor Oseguera,2022/12/14,"Sílex,caliza,cuarcita y sílex","Tallada,no identificada,pulida y herramientas","Percusión casual,unifaciales,bifaciales,navajas,no identificado,no identificada,utilitaria,molienda, unifaciales, bifaciales,percutor y percusión bipolar","Lasca de descortezamiento parcial,lasca de adelgazamiento y descortezamiento parcial,lasca casual,navaja de descortezamiento parcial,lasca casual sobre bifacial,lasca de reavivamiento de filo sobre hacha tallada,lasca de adelgazar,canto tallado unifacialmente,desprendimiento térmico,bifacial,macrolasca descortezamiento parcial,raedera sobre lasca,raedera sobre lasca casual de descortezamiento parcial,navaja,no identificado,núcleo casual,ecofacto,fragmento,cincel,placa de desgaste,abrasión,mano de metate,tajador bifacial sobre nódulo,raspador sobre lasca,punta de proyectil,percutor reutilizado,navaja cresta,lasca bipolar,golpe de buril sobre lasca de reavivamiento de filo de hacha tallada,raspador sobre lasca de descortezamiento parcial,percutor natural,raedera sobre lasca de adelgazamiento y descortezamiento parcial y pulidor","79","182"
"2",T2_07041,T2_07041_222_0003748,Vïctor Oseguera,2022/12/23,"Sílex,caliza,sílex,obsidiana y no_identificada","Tallada,no identificada,no identificada,herramientas y pulida","No identificada,percusión casual,unifaciales,bifaciales,no identificado,percutor,percusión bipolar,navajas,utilitaria,navajas prismáticas,no identificado y molienda","Fragmento,lasca casual sobre bifacial,lasca de adelgazar,raspador sobre lasca de descortezamiento parcial,desprendimiento térmico,raedera sobre lasca,lasca de descortezamiento parcial,lasca de fragmentación de percutor natural,lasca casual,lasca bipolar de descortezamiento parcial,no identificado,navaja de descortezamiento parcial,raedera sobre lasca casual de descortezamiento parcial,hacha,bifacial,lasca de adelgazamiento y descortezamiento parcial,lasca de reavivamiento de filo sobre hacha pulida,lasca de reavivamiento de filo sobre hacha tallada,ecofacto,núcleo casual multidireccional,hacha pulida,núcleo casual,navaja prismática,nódulo con desprendimientos térmicos,nódulo,lasca casual sobre hacha pulida,lasca de orientación distal de núcleo,lascas de presión,perforador sobre lasca,percutor natural,buril sobre lasca casual ,navaja,lasca de descortezamiento total,raedera sobre lasca de adelgazamiento,núcleo casual unidireccional,raspador sobre lasca,lasca de fragmentación de cincel,lasca casual sobre cincel bifacial,lasca de rejuvenecimiento de plataforma,recipiente (vasija) y mano de metate","107","527"
"2",T2_04162,T2_04162_256_0001644,Victor Oseguera,2023/01/26,Sílex,"Tallada,herramientas y no identificada","No identificada,unifaciales,bifaciales,percusión casual,percutor y no identificado","No identificado,lasca de adelgazar,lasca casual,lasca de descortezamiento parcial,lasca de fragmentación de percutor natural,desprendimiento térmico y lasca casual sobre bifacial","9","58"
"2",T2_04299,T2_04299_256_0001787,Victor Oseguera,2023/01/28,Sílex y caliza,"Herramientas,tallada y no identificada","Percutor,percusión casual,no identificado, unifaciales, bifaciales","Percutor natural,raedera sobre lasca casual de descortezamiento parcial,ecofacto,lasca de descortezamiento parcial y lasca de adelgazar","4","5"
"2",T2_07047,T2_07047_256_0000075,Victor Oseguera,2023/01/28,Sílex,Tallada,"Navajas,percusión casual, unifaciales, bifaciales","Navaja,lasca de descortezamiento parcial y lasca de adelgazamiento y descortezamiento parcial","3","5"
"2",T2_07049,T2_07049_237_0001114,Victor Oseguera,2023/01/28,"Sílex,caliza y basalto (con fenocristales)",Pulida y tallada,"Utilitaria,percusión casual,unifaciales,bifaciales,no identificada y molienda","Hacha pulida,lasca de descortezamiento parcial,raedera sobre lasca de adelgazamiento,no identificado y mano de metate","7","7"
"2",T2_07050,T2_07050_256_0000192,Victor Oseguera,2023/01/28,"Caliza,sílex,calcita,sílex y cuarcita","No identificada,tallada,herramientas,pulida y no identificada","No identificado,percusión casual,unifaciales,bifaciales,navajas,no identificada,percutor,utilitaria y molienda","Ecofacto,núcleo casual,lasca de descortezamiento parcial,fragmento,lasca de adelgazar,desprendimiento térmico,navaja de descortezamiento parcial,lasca de adelgazamiento y descortezamiento parcial,no identificado,lasca casual,lasca de reavivamiento de filo sobre hacha tallada,raspador sobre lasca,lasca de descortezamiento total,lasca de fragmentación de percutor natural,percutor natural,bifacial,lasca casual sobre bifacial,macrolasca descortezamiento parcial,pulidor,tapa de colmena,nódulo con desprendimientos térmicos,metate y punta de proyectil sobre lasca","30","102"
"2",T2_07051,T2_07051_207_0000371,Victor Oseguera,2023/01/31,"Sílex,caliza y obsidiana","Tallada,no identificada,herramientas,pulida y no identificada","Unifaciales,bifaciales,percusión casual,no identificada,no identificado,navajas,navajas prismáticas,percutor y molienda","Bifacial,lasca casual,lasca de reavivamiento de filo sobre hacha tallada,no identificado,lasca de descortezamiento parcial,desprendimiento térmico,lasca casual sobre percutor,raedera sobre lasca casual de descortezamiento parcial,lasca casual sobre bifacial,lasca de adelgazar,núcleo casual,navaja,raedera sobre lasca de adelgazamiento,ecofacto,navaja prismática,punta de proyectil,lasca de adelgazamiento y descortezamiento parcial,percutor natural,mano de metate y hacha","27","48"
"2",T2_07052,T2_07052_224_0005330,Victor Oseguera,2023/02/01,"Caliza,sílex y sílex","Tallada,no identificada,herramientas y no identificada","No identificada,unifaciales,bifaciales,percusión casual,no identificado,percutor y navajas","No identificado,lasca de adelgazar,lasca de descortezamiento parcial,lasca casual,desprendimiento térmico,ecofacto,lasca de fragmentación de percutor natural,núcleo casual multidireccional,raedera sobre lasca,lasca de adelgazamiento y descortezamiento parcial,navaja,lasca de reavivamiento de filo sobre hacha tallada,lasca casual sobre bifacial,esbozo bifacial sobre lasca,bifacial,raspador sobre lasca de descortezamiento parcial y fragmento","37","72"
"2",T2_07162,T2_07162_224_0005569,Victor Oseguera,2023/02/03,Sílex,Tallada y no identificada,"Percusión casual,no identificada,no identificado, unifaciales, bifaciales","Lasca casual sobre bifacial,no identificado,lasca casual,desprendimiento térmico,lasca de adelgazar,lasca de descortezamiento parcial,lasca de adelgazamiento y descortezamiento parcial y lasca casual unidireccional y descortezamiento parcial","12","37"
